#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
22,11,0.44,-2.73,0.556,0.00187,Soluble,-2.61,0.737,0.00248,Soluble,-4.08,0.025,8.41e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.06,0,0,0,0,0,0.55,0,0,0,3.41
34,20,0.21,-5.65,0.00111,2.25e-06,Moderately soluble,-6.89,6.37e-05,1.29e-07,Poorly soluble,-6.91,6.08e-05,1.23e-07,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-6.27,0,2,0,1,0,0.55,0,0,2,4.12
24,15,0.06,-4.62,0.00872,2.39e-05,Moderately soluble,-5.89,0.000469,1.28e-06,Moderately soluble,-5.83,0.000545,1.49e-06,Moderately soluble,Low,No,No,Yes,Yes,Yes,No,No,-5.92,0,0,0,0,0,0.56,0,0,2,2.72
33,22,0.21,-5.63,0.00109,2.36e-06,Moderately soluble,-6.06,0.000402,8.71e-07,Poorly soluble,-8.01,4.48e-06,9.73e-09,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.99,0,1,0,0,0,0.55,0,0,2,3.44
30,18,0.24,-5.59,0.00123,2.57e-06,Moderately soluble,-5.73,0.000886,1.85e-06,Moderately soluble,-8.12,3.6e-06,7.53e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,No,-6.21,0,0,0,0,0,0.55,0,1,2,3.33
27,6,0.73,-4.32,0.0181,4.84e-05,Moderately soluble,-4.85,0.00523,1.4e-05,Moderately soluble,-5.25,0.00212,5.66e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.82,0,0,0,0,0,0.55,0,0,2,3.71
26,14,0.48,-4.34,0.0162,4.54e-05,Moderately soluble,-3.98,0.0375,0.000105,Soluble,-6.16,0.000245,6.87e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.82,0,0,0,0,0,0.55,0,0,2,3.03
17,16,0.0,-4.09,0.018,8.11e-05,Moderately soluble,-3.88,0.0293,0.000132,Soluble,-6.13,0.000163,7.33e-07,Poorly soluble,High,Yes,No,Yes,Yes,No,No,No,-5.13,0,0,0,0,0,0.55,0,0,2,2.88
25,11,0.38,-2.17,2.32,0.00671,Soluble,-2.79,0.56,0.00162,Soluble,-3.87,0.0463,0.000134,Soluble,High,No,Yes,No,No,No,No,No,-7.89,0,0,0,0,0,0.55,0,0,1,3.1
24,18,0.17,-3.59,0.0822,0.000258,Soluble,-3.23,0.186,0.000584,Soluble,-5.34,0.00146,4.57e-06,Moderately soluble,High,Yes,Yes,Yes,No,Yes,No,Yes,-6.64,0,0,0,0,0,0.55,0,0,0,2.92
32,16,0.41,-4.89,0.0059,1.28e-05,Moderately soluble,-6.06,0.000399,8.64e-07,Poorly soluble,-7.49,1.48e-05,3.21e-08,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.32,0,0,0,0,0,0.55,0,0,3,4.27
24,11,0.39,-3.85,0.0502,0.000143,Soluble,-4.48,0.0116,3.3e-05,Moderately soluble,-5.96,0.00039,1.11e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-6.1,0,0,0,0,0,0.55,0,0,2,3.85
24,12,0.33,-3.6,0.088,0.000254,Soluble,-3.29,0.179,0.000515,Soluble,-5.83,0.000517,1.49e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,No,-6.73,0,0,0,0,0,0.55,0,0,0,2.89
19,11,0.17,-3.17,0.221,0.000676,Soluble,-3.0,0.328,0.001,Soluble,-5.35,0.00147,4.5e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.94,0,0,0,0,0,0.55,0,0,0,2.52
20,16,0.2,-4.15,0.0201,7.1e-05,Moderately soluble,-4.5,0.00898,3.18e-05,Moderately soluble,-4.76,0.00493,1.75e-05,Moderately soluble,High,Yes,Yes,No,Yes,Yes,No,Yes,-5.66,0,0,0,0,0,0.55,0,0,0,3.5
29,11,0.35,-5.51,0.00141,3.1e-06,Moderately soluble,-7.54,1.32e-05,2.89e-08,Poorly soluble,-6.44,0.000167,3.66e-07,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-5.59,0,0,0,1,0,0.56,0,0,3,3.41
17,5,0.7,-2.26,1.54,0.00554,Soluble,-3.01,0.269,0.000966,Soluble,-2.37,1.19,0.00428,Soluble,High,No,No,No,Yes,No,No,No,-7.17,0,0,0,0,0,0.55,0,0,0,3.31
30,11,0.45,-3.04,0.402,0.00092,Soluble,-3.14,0.319,0.00073,Soluble,-4.75,0.00776,1.77e-05,Moderately soluble,High,No,Yes,No,Yes,Yes,No,Yes,-8.06,0,0,0,0,0,0.55,0,0,2,3.61
26,18,0.23,-4.86,0.00503,1.37e-05,Moderately soluble,-4.77,0.00628,1.71e-05,Moderately soluble,-8.78,6.15e-07,1.67e-09,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.58,0,0,0,0,0,0.55,0,0,2,2.93
30,22,0.21,-5.27,0.00214,5.34e-06,Moderately soluble,-5.33,0.00188,4.69e-06,Moderately soluble,-7.77,6.85e-06,1.71e-08,Poorly soluble,High,Yes,No,No,No,Yes,No,Yes,-5.75,0,0,0,0,0,0.55,0,0,2,3.23
27,5,0.69,-1.42,15.7,0.038,Very soluble,-1.34,18.8,0.0454,Very soluble,-2.4,1.64,0.00396,Soluble,High,No,No,No,No,No,No,No,-9.49,0,0,0,1,0,0.55,0,1,2,3.22
24,17,0.07,-4.42,0.0164,3.84e-05,Moderately soluble,-5.11,0.00327,7.68e-06,Moderately soluble,-7.0,4.31e-05,1.01e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.94,0,0,0,0,0,0.55,0,0,1,3.37
32,18,0.25,-5.84,0.000618,1.45e-06,Moderately soluble,-6.5,0.000135,3.17e-07,Poorly soluble,-7.5,1.35e-05,3.18e-08,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,No,-4.98,1,0,0,0,1,0.55,0,1,3,5.57
30,12,0.44,-6.1,0.000327,7.96e-07,Poorly soluble,-7.04,3.77e-05,9.18e-08,Poorly soluble,-7.13,3.02e-05,7.35e-08,Poorly soluble,High,No,No,No,No,Yes,No,Yes,-4.73,0,0,0,0,1,0.55,0,0,2,4.42
31,19,0.24,-5.08,0.00347,8.4e-06,Moderately soluble,-5.21,0.00255,6.16e-06,Moderately soluble,-6.96,4.59e-05,1.11e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.88,0,0,0,0,0,0.55,0,0,2,2.83
19,15,0.08,-2.28,1.37,0.00528,Soluble,-1.65,5.78,0.0223,Very soluble,-4.25,0.0146,5.62e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-7.46,0,0,0,0,0,0.55,0,0,0,2.47
25,12,0.35,-5.08,0.00284,8.41e-06,Moderately soluble,-5.25,0.00188,5.58e-06,Moderately soluble,-5.72,0.000649,1.92e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,No,Yes,-4.99,1,0,0,0,0,0.55,0,1,1,4.9
27,11,0.39,-2.78,0.657,0.00167,Soluble,-2.59,1.01,0.00257,Soluble,-4.24,0.0226,5.74e-05,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-8.03,0,0,0,0,0,0.55,0,0,1,3.23
21,10,0.55,-1.01,30.4,0.0975,Very soluble,-0.44,115.0,0.367,Very soluble,-1.62,7.48,0.0239,Soluble,High,No,No,No,No,No,No,No,-9.24,0,0,0,0,0,0.55,0,0,0,3.25
34,18,0.21,-4.7,0.00973,2e-05,Moderately soluble,-5.37,0.00205,4.22e-06,Moderately soluble,-7.43,1.82e-05,3.73e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.89,0,1,0,0,0,0.55,0,0,2,3.55
39,16,0.51,-7.73,9.92e-06,1.88e-08,Poorly soluble,-8.41,2.05e-06,3.89e-09,Poorly soluble,-10.18,3.47e-08,6.58e-11,Insoluble,High,No,Yes,No,No,No,No,No,-4.07,1,4,0,1,1,0.55,0,2,3,5.9
31,18,0.14,-5.71,0.000983,1.95e-06,Moderately soluble,-5.77,0.000864,1.72e-06,Moderately soluble,-8.22,3.05e-06,6.05e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.46,1,2,0,0,0,0.55,0,0,2,3.67
25,6,0.56,-3.22,0.239,0.00061,Soluble,-4.31,0.019,4.86e-05,Moderately soluble,-4.42,0.0149,3.81e-05,Moderately soluble,High,No,No,No,Yes,Yes,Yes,No,-7.08,0,0,0,0,0,0.55,0,0,2,3.25
24,18,0.13,-4.03,0.034,9.43e-05,Moderately soluble,-4.99,0.00372,1.03e-05,Moderately soluble,-5.38,0.0015,4.16e-06,Moderately soluble,High,No,No,No,Yes,No,No,No,-6.7,0,0,0,1,0,0.55,0,0,1,3.23
30,21,0.19,-5.12,0.00314,7.58e-06,Moderately soluble,-5.12,0.00317,7.64e-06,Moderately soluble,-7.19,2.68e-05,6.46e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.91,0,0,0,0,0,0.55,0,0,2,3.06
24,11,0.38,-2.81,0.544,0.00156,Soluble,-2.52,1.06,0.00304,Soluble,-3.44,0.125,0.000359,Soluble,High,No,No,No,No,No,No,No,-7.6,0,0,0,0,0,0.55,0,0,0,2.92
